Moeda,Data,Alta,Baixa,Abertura,Fechamento,Volume,Marketcap
Aave,2021-01-17,196.80113845,175.36021383,182.37267232,186.2648519,631950249.7831974,2280831100.500596
Aave,2021-01-18,197.66044299,181.44289524,186.19019975,197.65705672,495408127.87871057,2421614478.2345505
Aave,2021-01-19,206.22215614,185.817549,197.71740787,187.50846827,501884679.0409566,2298257565.7471347
Aave,2021-01-20,198.19886798,173.54166984,187.1289415,193.3356448,629524750.396603,2370382680.144542
Aave,2021-01-21,193.4189507,156.91452532,193.32167869,159.99185659,581488355.1622448,1961810810.2293148
Aave,2021-01-22,194.5527093,148.81667161,159.880358,188.27962871,621666180.527225,2309153719.5381904
Aave,2021-01-23,216.9347528,184.75756039,187.96894069,210.36705841,564323079.8501879,2581064745.640444
Aave,2021-01-24,285.432791,210.61393513,210.61393513,264.85014401,1241700329.7266734,3251074103.9558263
Aave,2021-01-25,281.03039845,240.25944335,264.25886028,249.74367963,1081208271.0289412,3066479750.692207
Aave,2021-01-26,281.71788898,241.9276771,249.1981637,272.3576004,1081042277.5403025,3345908147.025244
Aave,2021-01-27,290.40235352,257.25419037,272.67511063,282.44377082,1111051096.4694834,3473257310.8946924
Aave,2021-01-28,305.43170394,274.74627799,282.18623189,297.41404299,874888871.6,3658821334.13
Aave,2021-01-29,306.1231135,272.62314095,292.26857084,286.89914533,1050249644.78,3530265420.3
Aave,2021-01-30,316.14377732,283.0867247,286.97316007,313.08732974,805008933.69,3854426676.67
Aave,2021-01-31,317.18857817,293.55978026,313.89264347,300.06256418,539565884.95,3697226540.33
Aave,2021-02-01,306.99053591,285.56610689,300.03660994,295.66131353,639510002.09,3643317247.54
Aave,2021-02-02,303.16399672,285.17213889,295.74798767,301.11819132,752215469.92,3711117723.85
Aave,2021-02-03,367.7925718,300.02753677,301.09644895,365.5988563,1083942424.89,4506679200.81
Aave,2021-02-04,506.81430279,366.33473688,366.33473688,466.4799454,2838572595.82,5754281218.82
Aave,2021-02-05,534.40920329,463.88750013,465.20695854,506.77264181,1511505451.24,6253059939.33
Aave,2021-02-06,509.1511721,443.63367911,506.38615051,472.32853192,1485662684.03,5832334571.25
Aave,2021-02-07,479.95690274,399.00333725,472.60146377,461.5083374,1373619547.81,5700023386.8
Aave,2021-02-08,529.13674002,458.58015296,461.79613607,490.34201617,1711240052.77,6057557720.36
Aave,2021-02-09,505.94283055,475.6519234,490.01141316,488.00188063,1165494591.8,6030579943.23
Aave,2021-02-10,559.12294431,486.48228999,487.6995549,517.96825685,1880615394.0,6404109768.83
Aave,2021-02-11,532.93623082,504.78166007,516.32640227,518.07254013,836675655.61,6409555495.12
Aave,2021-02-12,542.94300205,502.3366133,517.90625643,529.89617535,822757465.38,6558682803.75
Aave,2021-02-13,542.13536671,491.64641471,529.82971664,494.55965157,783556570.31,6124959579.25
Aave,2021-02-14,508.7522981,462.43832149,494.71378746,471.6146565,685293985.66,5841937064.85
Aave,2021-02-15,494.31787426,401.60338895,470.92257667,455.61472533,1153106183.3,5643744346.22
Aave,2021-02-16,477.64167339,423.50151899,454.71170674,431.5302847,927532561.85,5345408014.9
Aave,2021-02-17,455.5505286,401.53671938,431.41689139,449.60051733,1095918427.91,5569245761.06
Aave,2021-02-18,476.6646223,435.79495161,449.05388169,440.5109236,577451189.48,5456652070.81
Aave,2021-02-19,444.4219644,407.32203736,440.50128142,422.2425337,667057562.2,5230359731.15
Aave,2021-02-20,489.74754408,409.89587291,421.83145004,442.02387644,1512350119.37,5482898402.56
Aave,2021-02-21,451.37066675,427.24958639,441.2820991,435.85377271,555957721.72,5407627356.65
Aave,2021-02-22,444.67329695,361.83871694,435.87840115,400.88243658,924414231.89,4974530206.13
Aave,2021-02-23,401.64885291,288.71452331,400.78497558,359.49751981,1179704137.16,4461394530.87
Aave,2021-02-24,402.91031358,344.93886044,360.21098531,367.23089964,763533885.8,4557746908.16
Aave,2021-02-25,384.70787702,337.50146351,367.21921716,337.50146351,450643581.02,4189244710.34
Aave,2021-02-26,350.86544151,305.15356187,338.27717556,323.10817521,549178299.16,4011295609.12
Aave,2021-02-27,349.17849378,323.37611629,323.37611629,334.36448095,400236069.04,4151558855.57
Aave,2021-02-28,354.83655641,302.17219422,334.36457338,344.87000758,595665678.7,4282630707.73
Aave,2021-03-01,386.42742529,344.80371467,345.18928444,385.41968876,743260217.03,4787397636.72
Aave,2021-03-02,411.88731495,379.03467694,385.58918892,390.92626057,731511612.1,4855921767.78
Aave,2021-03-03,413.63810676,385.87113286,390.91525628,396.30827717,428274369.61,4923743148.88
Aave,2021-03-04,406.01219067,367.78668752,396.01716671,374.56693032,395856298.25,4653772702.49
Aave,2021-03-05,374.36337845,341.83354044,374.32396675,367.12553589,334832774.85,4562190922.56
Aave,2021-03-06,382.45293835,353.91752676,366.81600562,382.01959117,259155959.28,4747498176.4
Aave,2021-03-07,407.70725033,378.1496075,382.11859286,407.15247143,587694984.87,5060997597.21
Aave,2021-03-08,431.08899622,388.79808573,407.2454357,430.6251097,578702449.84,5353291199.64
Aave,2021-03-09,441.17531557,418.16656411,430.78207243,439.32953693,453095765.28,5461756100.94
Aave,2021-03-10,450.25979286,402.44024922,439.13217789,408.26351907,530439445.71,5076097240.69
Aave,2021-03-11,411.65275634,389.26978879,407.40525228,403.50932755,396079584.32,5017241956.56
Aave,2021-03-12,406.41473674,362.88351372,403.58986342,374.71471052,427189383.68,4659635360.2
Aave,2021-03-13,415.92332152,361.53280979,374.79467525,405.39340121,542535232.39,5041674558.43
Aave,2021-03-14,408.3292567,377.94880782,405.36330369,381.08260484,381409955.94,4739457975.83
Aave,2021-03-15,389.06925577,358.23900347,380.70094392,369.02280205,352800736.83,4590010352.57
Aave,2021-03-16,375.31807796,352.73665397,369.00102348,371.21927385,286266766.78,4617763704.8
Aave,2021-03-17,379.86463919,359.72752146,371.33082243,379.1245646,280131587.99,4716940794.82
Aave,2021-03-18,380.44649791,362.47976039,378.93109451,363.10073433,219482140.04,4517656907.39
Aave,2021-03-19,377.26572726,356.67906702,363.01201574,369.37732538,235741846.52,4595860814.8
Aave,2021-03-20,395.18907025,368.089939,369.18189654,372.47784121,260796699.2,4635091730.5
Aave,2021-03-21,377.24518434,363.60498856,372.51412826,370.15155996,174671074.92,4606283845.85
Aave,2021-03-22,373.76514507,342.27469804,370.24478625,344.32445841,229155373.86,4284996869.58
Aave,2021-03-23,351.24670306,335.82679105,344.17108998,337.71448352,221157577.38,4203178634.82
Aave,2021-03-24,352.32203663,313.80916016,337.49567218,322.38054762,246028275.93,4015946929.12
Aave,2021-03-25,339.01341722,316.22446194,322.12586536,328.21590435,318638404.99,4088868432.99
Aave,2021-03-26,357.86584949,327.54324658,328.14597612,355.60626394,322533721.51,4430363919.94
Aave,2021-03-27,358.32341962,339.99769624,355.47236672,348.59236933,201495262.87,4343943724.09
Aave,2021-03-28,352.82049859,336.06823141,348.46568151,346.18989982,197560213.16,4314382589.25
Aave,2021-03-29,365.13390152,343.68119279,345.95870899,360.31627991,273206477.35,4490531522.37
Aave,2021-03-30,377.86398082,354.83564279,360.24283563,373.64082623,324113326.93,4656864364.11
Aave,2021-03-31,385.78006545,361.11462346,373.82708492,377.00814257,460781142.04,4698903088.6
Aave,2021-04-01,385.29872156,369.99531813,377.18368656,377.61179926,342371946.85,4706655285.76
Aave,2021-04-02,408.47991277,374.2909219,377.51466105,406.69230308,480081712.84,5069254861.38
Aave,2021-04-03,411.37707798,385.41589822,406.88359101,385.42057192,395544800.58,4806154259.95
Aave,2021-04-04,409.57952347,382.7888631,385.52697083,404.30973507,330959728.89,5042122934.79
Aave,2021-04-05,407.32930559,388.30035121,404.39295268,397.92455936,306918909.35,4962595819.1
Aave,2021-04-06,414.46970107,381.05020712,398.22538266,383.98994248,429756591.48,4788997765.1
Aave,2021-04-07,387.92493727,343.95766357,384.01465896,350.995831,479760253.88,4378934904.69
Aave,2021-04-08,377.93119268,349.1247067,351.38767647,377.93119268,261822849.23,4715193942.12
Aave,2021-04-09,379.18028123,357.89147794,377.93218799,359.48357425,187074856.57,4485870791.61
Aave,2021-04-10,374.97055281,357.08281899,359.37321874,367.26334069,278406911.91,4583145058.71
Aave,2021-04-11,373.37874338,360.57380732,367.48909975,373.37874338,200658255.12,4660263686.21
Aave,2021-04-12,417.72217992,365.38837572,372.45602284,396.53613746,787040258.53,4950915627.32
Aave,2021-04-13,419.78904302,385.24825181,397.28498679,398.28391889,649056082.97,4973077447.0
Aave,2021-04-14,430.78858392,387.57605277,398.21019792,430.41622827,709472129.75,5374639326.94
Aave,2021-04-15,485.54265776,424.28299663,428.93606255,466.16483587,1064575198.24,5821565277.9
Aave,2021-04-16,469.4293897,421.34026746,466.27193718,442.19440065,673556018.02,5522217402.2
Aave,2021-04-17,460.75462549,422.82448165,441.31395406,430.1746817,369355828.08,5372112604.27
Aave,2021-04-18,432.98090609,292.77538936,430.18149922,382.07509899,1020175372.3,4771434820.21
Aave,2021-04-19,397.55232068,344.34172305,381.82247687,346.81257565,492796753.72,4331068954.6
Aave,2021-04-20,371.56151091,316.48934559,346.11530829,361.60819853,549743935.6,4515839829.21
Aave,2021-04-21,384.65097732,344.40242309,361.58153387,354.13844062,457471541.78,4422555909.18
Aave,2021-04-22,413.36092629,346.32577026,353.46287082,362.2285832,934747605.16,4523527204.3
Aave,2021-04-23,372.51797583,315.04539195,361.73020401,345.65529566,871499452.91,4316559227.28
Aave,2021-04-24,345.91763301,315.48456743,345.76651771,317.49933002,344313634.66,3964946233.63
Aave,2021-04-25,352.25897298,316.13366701,317.67093627,346.99324847,384827300.79,4333267643.55
Aave,2021-04-26,407.97280455,345.79475744,347.64307039,405.15672313,778864321.5,5059615789.74
Aave,2021-04-27,449.01496583,394.69529355,405.53764826,440.22324594,829037372.14,5497528139.23
Aave,2021-04-28,486.03671396,424.17780399,440.6042979,460.35151028,1106424533.69,5748890829.87
Aave,2021-04-29,462.82557118,425.80131733,461.08155056,438.70997496,602169994.59,5478630341.58
Aave,2021-04-30,452.47550214,430.46611758,439.29815513,444.72879905,549295851.03,5553793693.58
Aave,2021-05-01,510.98177585,436.83532029,444.86552929,503.86568384,876659862.61,6292297830.28
Aave,2021-05-02,506.53124535,474.43864308,503.71184434,483.41444421,528803162.23,6036901809.32
Aave,2021-05-03,532.78855889,480.5125322,482.06645108,519.06942055,800165583.14,6482162793.55
Aave,2021-05-04,520.52138233,449.97582575,519.34329602,453.35241136,946515500.83,5661485760.68
Aave,2021-05-05,483.67771305,445.15946002,452.65705583,480.03080165,598275754.56,5994646725.41
Aave,2021-05-06,480.68362397,442.38935824,479.77123474,452.40875669,535837075.35,5649701357.76
Aave,2021-05-07,466.90629457,434.80659135,452.41106524,445.22238064,444097912.4,5559957563.2
Aave,2021-05-08,475.35474825,441.04545977,445.22404052,466.31755388,409427672.08,5823395056.67
Aave,2021-05-09,468.57670616,441.89136052,466.57434844,459.58723356,356162916.89,5739346507.09
Aave,2021-05-10,482.42247492,403.21347827,459.29901356,433.0535672,555568844.41,5407992861.34
Aave,2021-05-11,458.75110371,417.65671141,433.15890771,457.17806873,471124523.27,5709260745.88
Aave,2021-05-12,595.82513671,456.46180223,457.40104388,490.57903135,2700355688.72,6251969445.3
Aave,2021-05-13,619.30596592,468.49869127,509.08943574,508.62279907,2672357693.16,6482732644.44
Aave,2021-05-14,631.5928899,507.38728823,508.9166087,594.55687732,1517159070.69,7580234638.55
Aave,2021-05-15,610.31494186,511.89910144,594.4355863,516.16936703,1073639999.02,6581333238.58
Aave,2021-05-16,562.17659909,479.44748903,515.7094331,526.2147085,903490585.83,6709766021.94
Aave,2021-05-17,593.00508265,473.22048208,527.26450022,574.25943504,1714951194.75,7323113977.48
Aave,2021-05-18,666.86497857,565.74988663,572.2180282,632.26648755,2046638929.59,8063209781.54
Aave,2021-05-19,649.05066157,354.45831882,629.2316655,418.369321,2596468764.84,5336170728.82
Aave,2021-05-20,507.98340686,355.43206147,412.87683765,468.81267809,1490116640.59,5980158843.65
Aave,2021-05-21,494.54843714,310.49052618,467.5263569,373.41851052,1224012357.59,4764076256.81
Aave,2021-05-22,381.62825652,311.79975399,373.8030008,334.48069393,880707840.82,4267652851.7
Aave,2021-05-23,351.11141075,210.04829176,335.38838929,295.08922914,1187561364.15,3765386794.92
Aave,2021-05-24,397.06660616,289.40548358,294.31758896,385.57160812,1188069866.89,4920347743.33
Aave,2021-05-25,403.74877236,323.66280703,386.97401273,371.38023972,856641755.42,4739642739.47
Aave,2021-05-26,415.08126945,359.45637637,370.81038011,414.93294547,815698595.64,5295741939.71
Aave,2021-05-27,415.19800843,365.75705,415.19800843,369.97811139,627234774.78,4722695575.04
Aave,2021-05-28,376.53136082,305.07642629,371.60763773,320.3811519,691594902.23,4094856434.92
Aave,2021-05-29,335.22437432,280.93323497,319.96143011,297.89964198,461875865.15,3807889683.09
Aave,2021-05-30,338.76706247,283.18673565,297.75044967,325.1483991,404946833.61,4156839152.74
Aave,2021-05-31,385.14911323,305.06582711,324.5817947,383.08341024,685229369.02,4897954880.81
Aave,2021-06-01,392.7743238,361.50825713,382.43173358,372.8724613,599657382.37,4767779049.31
Aave,2021-06-02,401.71075971,361.93325303,372.90909735,384.40269091,410524214.05,4915404364.2
Aave,2021-06-03,408.96726025,377.89789682,384.44263126,397.49794841,357572383.78,5082959562.31
Aave,2021-06-04,398.5462218,347.69042496,398.5462218,373.88263034,431321243.76,4781530086.14
Aave,2021-06-05,391.55844855,347.72117872,373.3978012,356.66771648,357996565.63,4561449065.93
Aave,2021-06-06,368.26187716,354.70910508,356.796678,365.66003352,204074691.8,4676895920.27
Aave,2021-06-07,387.64553781,332.98570349,365.47444009,333.88496551,357944925.2,4270986921.64
Aave,2021-06-08,338.99411651,297.53350429,334.9433387,331.01690893,406665178.62,4234703558.26
